"idx_sin","gar_sin","surv_sin","decl_sin","clo_sin","gest_sin","mt_eval","mt_regl","incoh_decl_before_surv","incoh_gest_before_decl","incoh_clo_before_surv","incoh_neg_eval","incoh_neg_regl","delai_declaration_jours","sinistre_cloturé","sinistre_payé","idx_ct","idx_year","vh_immat","sit_start_date","sit_end_date","sit_expo","drv1age","drv1sex","drv1drive_licence_type","drv1drive_licence_age","vh_age","ct_frm","ct_ass_base","ct_ass0km","ct_ass_vhr","vh_segment","vh_marque","vh_energy","vh_weight","vh_din","vh_value","vh_group","vh_class","ct_usage","ct_km","ct_deduc","claims_ant","ct_insee","id1_ass_base","id1_ass0km","id1_ass_vhr","id2_ass_base","id2_ass0km","id2_ass_vhr","id3_ass_base","id3_ass0km","id3_ass_vhr","cot_ass_base","cot_ass0km","cot_ass_vhr","duree_contrat_jours","jeune_conducteur","cotisation_total","source_id"
"S19-0042612","AssBase","2019-11-12","2019-11-13","2020-05-12","2020-05-12",172.35,172.35,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002513967",2019,"XY-0577-LL","2019-01-01","2019-12-31",1,63,"H","Traditionnel",44.75,11.9,"Med2",1,1,1,"Compacte","Peugeot","Diesel",1422,111,11083.3,11,3,"Pri","N",200,0,"74074","S19-0042612",NA,NA,NA,NA,NA,NA,NA,NA,28.09,22.66,20.35,364,0,71.1,"id1_ass_base"
"S19-0043200","AssBase","2019-06-07","2019-06-07","2019-06-25","2019-06-25",215.49,215.49,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002514427",2019,"HK-3814-CY","2019-01-01","2019-12-31",1,69,"H","Traditionnel",50.31,14.03,"Mini",1,0,0,"Citadine","Autre","Diesel",1363,89,12059.67,9,3,"Pri","N",300,0,"36154","S19-0043200",NA,NA,NA,NA,NA,NA,NA,NA,21.55,0,0,364,0,21.55,"id1_ass_base"
"S19-0043587","AssBase","2019-08-18","2019-08-20","2019-09-25","2019-09-25",115.21,115.21,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C002514689",2019,"JR-4671-JC","2019-03-10","2019-12-31",0.813698630136986,44,"H","Traditionnel",24.42,18.99,"Mini",1,0,0,"Citadine","Peugeot","Essence",1026,119,6492.1,25,2,"Pro","N",200,1,"16110","S19-0043587",NA,NA,NA,NA,NA,NA,NA,NA,17.05,0,0,296,0,17.05,"id1_ass_base"
"S19-0043698","AssBase","2019-01-07","2019-01-22","2019-11-25","2019-11-25",212.41,212.41,FALSE,FALSE,FALSE,FALSE,FALSE,15,1,1,"C002514775",2019,"CN-9937-GY","2019-01-01","2019-12-31",1,75,"F","Traditionnel",53.96,11.05,"Mini",1,0,0,"Compacte","Nissan","Electrique/Hybride",1855,93,7006.39,7,2,"Pri","N",200,0,"8334","S19-0043698",NA,NA,NA,NA,NA,NA,NA,NA,21.37,0,0,364,0,21.37,"id1_ass_base"
"S19-0043822","AssBase","2019-10-25","2019-11-04","2019-12-02","2019-12-02",292.92,292.92,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,1,"C002514865",2019,"FS-0374-EY","2019-01-01","2019-12-31",1,41,"H","Traditionnel",19.72,4.47,"Med1",1,1,1,"SUV","Citroen","Diesel",1760,180,28733.65,18,4,"Pro","N",300,0,"71230","S19-0043822",NA,NA,NA,NA,NA,NA,NA,NA,27.52,22.29,20.07,364,0,69.88,"id1_ass_base"
"S19-0043956","AssBase","2019-03-25","2019-03-30","2019-04-13","2019-04-13",182.48,182.48,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C002514969",2019,"FM-3142-GK","2019-01-01","2019-12-31",1,34,"H","Cond Accompagnée",14.9,16.59,"Mini",1,0,0,"Citadine","Peugeot","Essence",1336,142,6417.73,30,4,"Pri","O",200,0,"16081","S19-0043956",NA,NA,NA,NA,NA,NA,NA,NA,21.81,0,0,364,0,21.81,"id1_ass_base"
"S19-0044202","AssBase","2019-09-19","2019-10-05","2019-10-05","2019-10-05",202.98,202.98,FALSE,FALSE,FALSE,FALSE,FALSE,16,1,1,"C002515139",2019,"NE-2684-KK","2019-01-01","2019-12-31",1,52,"F","Traditionnel",31.73,9.28,"Mini",1,0,0,"Citadine","Dacia","Diesel",1868,236,20753.07,15,4,"Pri","N",200,0,"88188","S19-0044202",NA,NA,NA,NA,NA,NA,NA,NA,22.83,0,0,364,0,22.83,"id1_ass_base"
"S19-0044796","AssBase","2019-02-15","2019-02-16","2019-03-04","2019-03-04",231.53,231.53,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002515593",2019,"EM-5243-GJ","2019-01-01","2019-12-31",1,45,"F","Traditionnel",25.72,5.96,"Maxi",1,0,0,"Citadine","Peugeot","Essence",1137,194,23536.6,24,4,"Pro","N",200,0,"74287","S19-0044796",NA,NA,NA,NA,NA,NA,NA,NA,24.47,0,0,364,0,24.47,"id1_ass_base"
"S19-0045005","AssBase","2019-07-30","2019-07-30","2019-11-12","2019-11-12",230.02,230.02,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002515749",2019,"RR-7922-YP","2019-01-01","2019-12-31",1,24,"H","Traditionnel",5.55,13.38,"Mini",1,0,0,"Compacte","Autre","Electrique/Hybride",2149,108,6259.88,15,2,"Pri","N",200,0,"74275","S19-0045005",NA,NA,NA,NA,NA,NA,NA,NA,22.45,0,0,364,1,22.45,"id1_ass_base"
"S19-0045462","AssBase","2019-11-14","2019-11-26","2019-11-26","2019-11-26",207.76,207.76,FALSE,FALSE,FALSE,FALSE,FALSE,12,1,1,"C002516075",2019,"EN-4256-PX","2019-01-01","2019-12-31",1,43,"F","Traditionnel",21.78,12.37,"Mini",1,0,0,"Citadine","Fiat","Essence",1100,96,6563.07,8,2,"Pri","O",400,0,"10214","S19-0045462",NA,NA,NA,NA,NA,NA,NA,NA,21.98,0,0,364,0,21.98,"id1_ass_base"
