"variable","nb_na"
"id2_ass0km",28824
"id2_ass_vhr",28824
"id3_ass0km",28824
"id3_ass_vhr",28824
"id3_ass_base",28638
"id1_ass_vhr",27748
"id2_ass_base",26177
"id1_ass0km",26164
"id1_ass_base",2778
"clo_sin",1881
"idx_sin",0
"gar_sin",0
"surv_sin",0
"decl_sin",0
"gest_sin",0
"mt_eval",0
"mt_regl",0
"incoh_decl_before_surv",0
"incoh_gest_before_decl",0
"incoh_clo_before_surv",0
"incoh_neg_eval",0
"incoh_neg_regl",0
"delai_declaration_jours",0
"sinistre_cloturé",0
"sinistre_payé",0
"idx_ct",0
"idx_year",0
"vh_immat",0
"sit_start_date",0
"sit_end_date",0
"sit_expo",0
"drv1age",0
"drv1sex",0
"drv1drive_licence_type",0
"drv1drive_licence_age",0
"vh_age",0
"ct_frm",0
"ct_ass_base",0
"ct_ass0km",0
"ct_ass_vhr",0
"vh_segment",0
"vh_marque",0
"vh_energy",0
"vh_weight",0
"vh_din",0
"vh_value",0
"vh_group",0
"vh_class",0
"ct_usage",0
"ct_km",0
"ct_deduc",0
"claims_ant",0
"ct_insee",0
"cot_ass_base",0
"cot_ass0km",0
"cot_ass_vhr",0
"duree_contrat_jours",0
"jeune_conducteur",0
"cotisation_total",0
"source_id",0
"vh_marque_recode",0
"drv1drive_licence_type_recode",0
