"idx_sin","gar_sin","surv_sin","decl_sin","clo_sin","gest_sin","mt_eval","mt_regl","incoh_decl_before_surv","incoh_gest_before_decl","incoh_clo_before_surv","incoh_neg_eval","incoh_neg_regl","delai_declaration_jours","sinistre_cloturé","sinistre_payé"
"S18-0043146","AssVHR",2018-12-08,2018-12-10,2019-08-05,2019-08-05,262.86,262.86,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-0057961","Ass0km",2018-10-30,2018-10-30,2019-01-13,2019-01-13,229.51,229.51,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0062373","AssBase",2018-11-21,2018-11-21,2019-01-11,2019-01-11,307.06,307.06,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0115601","AssVHR",2018-11-18,2018-11-23,2019-06-25,2019-06-25,257.44,257.44,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-0136547","Ass0km",2018-09-30,2018-10-01,2018-12-05,2018-12-05,277.98,277.98,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-0139011","Ass0km",2018-09-28,2018-10-01,2018-11-03,2018-11-03,324.87,324.87,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-0152251","AssBase",2018-10-02,2018-10-03,2018-11-03,2018-11-03,256.57,256.57,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-0184138","Ass0km",2018-09-23,2018-09-23,2018-10-30,2018-10-30,318.53,318.53,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0186465","AssVHR",2018-12-07,2018-12-07,2019-04-09,2019-04-09,249.92,249.92,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0252588","AssVHR",2018-12-27,2018-12-30,2019-05-16,2019-05-16,263.41,263.41,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-0265296","AssVHR",2018-11-19,2018-11-19,2019-05-31,2019-05-31,222.71,222.71,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0332050","AssVHR",2018-11-28,2018-12-02,2019-05-16,2019-05-16,250.98,250.98,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-0387448","AssBase",2018-09-12,2018-09-12,2018-10-16,2018-10-16,244.44,244.44,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0430246","AssBase",2018-12-03,2018-12-03,2019-02-20,2019-02-20,254.05,254.05,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0523953","AssVHR",2018-11-22,2018-11-22,2019-03-22,2019-03-22,239.37,239.37,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0537847","AssVHR",2018-11-05,2018-11-05,2019-02-27,2019-02-27,188.92,188.92,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0546659","AssBase",2018-09-07,2018-09-07,2018-12-12,2018-12-12,229.51,229.51,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0554667","AssVHR",2018-10-05,2018-10-05,2019-01-08,2019-01-08,284.96,284.96,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0566206","Ass0km",2018-09-10,2018-09-12,2018-11-10,2018-11-10,232.25,232.25,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-0654619","AssBase",2018-12-25,2018-12-29,2019-02-04,2019-02-04,239.41,239.41,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-0686579","AssBase",2018-09-10,2018-09-14,2019-05-16,2019-05-16,248.28,248.28,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-0812260","AssBase",2018-09-23,2018-09-25,2018-11-04,2018-11-04,309.28,309.28,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-0857488","AssBase",2018-11-28,2018-11-28,2019-01-14,2019-01-14,231.64,231.64,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0882683","Ass0km",2018-12-21,2018-12-22,2019-04-25,2019-04-25,241.32,241.32,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-0914543","Ass0km",2018-12-28,2018-12-28,2019-04-29,2019-04-29,265.97,265.97,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0956525","Ass0km",2018-10-13,2018-10-13,2018-11-07,2018-11-07,227.54,227.54,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-0968015","AssVHR",2018-11-30,2018-12-02,2019-09-04,2019-09-04,199.01,199.01,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-0986580","Ass0km",2018-11-14,2018-11-14,2019-02-28,2019-02-28,246.99,246.99,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1005979","AssBase",2018-09-28,2018-10-03,2018-11-22,2018-11-22,199.02,199.02,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-1012136","Ass0km",2018-11-27,2018-11-28,2018-12-17,2018-12-17,307.68,307.68,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1074799","AssBase",2018-09-23,2018-09-26,2018-09-26,2018-09-26,316.06,316.06,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-1085430","AssBase",2018-12-10,2018-12-18,2019-02-10,2019-02-10,272.22,272.22,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,1
"S18-1159729","AssBase",2018-11-06,2018-11-07,2018-11-23,2018-11-23,211.8,211.8,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1179714","AssVHR",2018-12-11,2018-12-18,2019-04-24,2019-04-24,205.2,205.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1
"S18-1197315","AssBase",2018-12-28,2018-12-29,2019-02-22,2019-02-22,183.45,183.45,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1227565","AssVHR",2018-12-03,2018-12-03,2019-05-30,2019-05-30,265.78,265.78,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1328378","AssVHR",2018-10-31,2018-11-05,2019-02-14,2019-02-14,319.52,319.52,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-1363571","Ass0km",2018-10-03,2018-10-03,2018-11-07,2018-11-07,207.48,207.48,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1377750","AssBase",2018-11-01,2018-11-01,2019-02-24,2019-02-24,236.59,236.59,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1386460","AssBase",2018-12-15,2018-12-20,2019-01-31,2019-01-31,234,234,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-1406005","AssBase",2018-11-13,2018-11-13,2019-02-17,2019-02-17,255.41,255.41,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1416455","AssVHR",2018-12-25,2018-12-29,2019-06-03,2019-06-03,239.84,239.84,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-1424638","AssVHR",2018-12-22,2018-12-23,2019-05-14,2019-05-14,318.05,318.05,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1460301","AssVHR",2018-11-06,2018-11-06,2019-02-28,2019-02-28,235.1,235.1,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1521452","AssBase",2018-11-23,2018-11-24,2019-03-02,2019-03-02,261.11,261.11,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1535824","AssVHR",2018-11-28,2018-12-11,2019-04-04,2019-04-04,259,259,FALSE,FALSE,FALSE,FALSE,FALSE,13,1,1
"S18-1566381","Ass0km",2018-10-26,2018-10-26,2018-12-01,2018-12-01,273.77,273.77,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1586677","AssVHR",2018-10-30,2018-10-30,2018-10-30,2018-10-30,262.74,262.74,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1651730","AssBase",2018-10-11,2018-10-16,2018-12-01,2018-12-01,264.09,264.09,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-1699792","AssVHR",2018-09-28,2018-09-28,2019-01-05,2019-01-05,238.91,238.91,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1777090","Ass0km",2018-11-01,2018-11-01,2018-12-30,2018-12-30,219.85,219.85,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1799964","AssBase",2018-10-25,2018-10-26,2018-11-24,2018-11-24,223.91,223.91,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1805349","Ass0km",2018-12-04,2018-12-04,2019-01-06,2019-01-06,192.03,192.03,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-1878491","Ass0km",2018-10-26,2018-10-27,2018-12-06,2018-12-06,319.61,319.61,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1934819","AssVHR",2018-10-03,2018-10-04,2019-01-07,2019-01-07,248.77,248.77,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-1953000","AssBase",2018-10-27,2018-10-29,2018-11-08,2018-11-08,252.47,252.47,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-1997662","AssVHR",2018-11-18,2018-11-18,2019-03-01,2019-03-01,207.22,207.22,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2024283","Ass0km",2018-10-15,2018-10-19,2019-01-26,2019-01-26,244.49,244.49,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-2024906","AssBase",2018-12-12,2018-12-17,2019-02-03,2019-02-03,239.73,239.73,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-2069932","AssVHR",2018-11-19,2018-11-19,2019-03-12,2019-03-12,233.33,233.33,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2126044","Ass0km",2018-12-08,2018-12-08,2019-02-19,2019-02-19,212.23,212.23,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2225268","AssBase",2018-12-14,2018-12-18,2019-01-15,2019-01-15,242.7,242.7,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-2250122","AssVHR",2018-09-17,2018-09-19,2018-09-19,2018-09-19,267.43,267.43,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-2287617","AssBase",2018-12-31,2018-12-31,2019-01-18,2019-01-18,205.39,205.39,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2316867","Ass0km",2018-09-03,2018-09-10,2018-12-15,2018-12-15,269.56,269.56,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1
"S18-2332796","Ass0km",2018-11-02,2018-11-05,2020-11-11,2020-11-11,235.93,235.93,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-2337759","Ass0km",2018-10-16,2018-10-22,2019-01-06,2019-01-06,233.9,233.9,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1
"S18-2354012","AssBase",2018-11-04,2018-11-11,2018-11-27,2018-11-27,223.61,223.61,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1
"S18-2403599","Ass0km",2018-09-04,2018-09-05,2019-01-25,2019-01-25,289.6,289.6,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-2413583","AssBase",2018-09-21,2018-09-30,2019-06-09,2019-06-09,275.55,275.55,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,1
"S18-2420418","Ass0km",2018-11-02,2018-11-02,2019-02-09,2019-02-09,244.7,244.7,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2421497","Ass0km",2018-12-11,2018-12-11,2019-01-03,2019-01-03,274.52,274.52,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2484695","AssBase",2018-11-28,2018-11-28,2018-12-24,2018-12-24,266.83,266.83,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2574366","AssBase",2018-11-11,2018-11-11,2019-01-04,2019-01-04,240.1,240.1,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2622343","AssBase",2018-10-12,2018-10-14,2018-12-21,2018-12-21,237.51,237.51,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-2676171","AssBase",2018-10-06,2018-10-12,2018-11-14,2018-11-14,245,245,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1
"S18-2681152","AssBase",2018-12-19,2018-12-29,2019-05-14,2019-05-14,289.19,289.19,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,1
"S18-2754881","AssVHR",2018-12-03,2018-12-03,2019-03-25,2019-03-25,256.52,256.52,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2760511","AssBase",2018-12-03,2018-12-03,2019-05-19,2019-05-19,220.72,220.72,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2769811","Ass0km",2018-09-10,2018-09-13,2019-09-18,2019-09-18,215.85,215.85,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-2785243","AssBase",2018-12-27,2018-12-27,2019-04-08,2019-04-08,219.65,219.65,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2801454","Ass0km",2018-11-27,2018-11-27,2019-01-07,2019-01-07,258.64,258.64,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2820186","AssVHR",2018-10-22,2018-10-23,2019-04-21,2019-04-21,212.26,212.26,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-2849037","AssBase",2018-09-25,2018-09-25,2018-10-05,2018-10-05,258.67,258.67,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2852459","AssBase",2018-12-02,2018-12-02,2019-02-13,2019-02-13,257.98,257.98,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-2872350","AssBase",2018-10-22,2018-10-31,2018-12-17,2018-12-17,236.45,236.45,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,1
"S18-2881219","AssVHR",2018-12-07,2018-12-16,2019-07-10,2019-07-10,193.27,193.27,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,1
"S18-2889588","Ass0km",2018-10-11,2018-10-13,2019-05-07,2019-05-07,291.88,291.88,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-2914723","AssVHR",2018-10-17,2018-10-18,2019-03-22,2019-03-22,270.5,270.5,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3003209","AssBase",2018-09-17,2018-09-20,2018-11-10,2018-11-10,308.12,308.12,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-3073717","AssVHR",2018-11-21,2018-11-22,2020-05-17,2020-05-17,285.58,285.58,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3159544","AssBase",2018-11-11,2018-11-23,2019-08-16,2019-08-16,204.99,204.99,FALSE,FALSE,FALSE,FALSE,FALSE,12,1,1
